,,,,,,,,,,,extracted automatically,,,,,,,
30,2025,A hybrid explainable model based on advanced machine learning and deep learning models for classifying brain tumors using MRI images,Md. Nahiduzzaman; Lway Faisal Abdulrazak; Hafsa Binte Kibria; Amith Khandakar; Mohamed Arselene Ayari; Md. Faysal Ahamed; Mominul Ahsan; Julfikar Haider; Mohammad Ali Moni; Marcin Kowalski,Journal Article,Nature Portfolio,73,TRUE,https://www.nature.com/articles/s41598-025-85874-7.pdf,39794374,10.1038/s41598-025-85874-7,brain tumour,Brain tumour,Oncology,SHAP,PDSCNN; Ridge Regression Extreme Learning Machine; ELM,Medical imaging,Risk prediction/screening,high
32,2021,A lime-based explainable machine learning model for predicting the severity level of covid-19 diagnosed patients,Freddy Gabbay; Shirly Bar‐Lev; Ofer Montano; Noam Hadad,Article,Multidisciplinary Digital Publishing Institute,62,TRUE,https://www.mdpi.com/2076-3417/11/21/10417/pdf?version=1636119013,,10.3390/app112110417,COVID-19,COVID-19,Respiratory & Infectious Disease,LIME,Multilayer Perceptron; Decision Tree,Tabular/EHR,Prognosis/outcome prediction,high
33,2023,A machine learning and explainable artificial intelligence approach for predicting the efficacy of hematopoietic stem cell transplant in pediatric patients,Krishnaraj Chadaga; Srikanth Prabhu; Niranjana Sampathila; Rajagopala Chadaga,Article,Elsevier BV,33,TRUE,https://doi.org/10.1016/j.health.2023.100170,,10.1016/j.health.2023.100170,haematopoietic stem cell transplant survival in paediatric cancer,Leukaemia,Oncology,SHAP; LIME; ELI5; QLattice,Stacking Ensemble; Harris Hawks Optimisation; Salp Swarm Optimisation,Tabular/EHR,Treatment response prediction,high
35,2025,A Machine Learning Model for Predicting Breast Cancer Recurrence and Supporting Personalized Treatment Decisions Through Comprehensive Feature Selection and Explainable Ensemble Learning,Tsair-Fwu Lee; Jun‐Ping Shiau; Chia-Hui Chen; Yun Wu; Cheng‐Shie Wuu; Yu-Jie Huang; Shyh‐An Yeh; Hui‐Chun Chen; Pei‐Ju Chao,Journal Article,Dove Medical Press,6,TRUE,https://www.dovepress.com/article/download/102776,40357238,10.2147/CMAR.S514693,breast cancer recurrence,Breast cancer,Oncology,SHAP,Stacking Ensemble; LASSO,Tabular/EHR,Treatment response prediction,high
37,2024,A Methodology for Reliability Analysis of Explainable Machine Learning: Application to Endocrinology Diseases,Firas Ketata; Zeina Al Masry; Slim Yacoub; Noureddine Zerhouni,Article,Institute of Electrical and Electronics Engineers,6,TRUE,https://doi.org/10.1109/access.2024.3431691,,10.1109/ACCESS.2024.3431691,hypothyroidism and type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,SHAP; LIME,Random Forest,Tabular/EHR,Risk prediction/screening,medium
39,2021,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer's disease,Shaker El–Sappagh; José M. Alonso; S. M. Riazul Islam; Ahmed Sultan; Kyung Sup Kwak,"Journal Article||Multicenter Study||Randomized Controlled Trial||Research Support, N.I.H., Extramural||Research Support, Non-U.S. Gov't||Research Support, U.S. Gov't, Non-P.H.S.",Nature Portfolio,356,TRUE,https://www.nature.com/articles/s41598-021-82098-3.pdf,33514817,10.1038/s41598-021-82098-3,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP; decision tree explainers; fuzzy rule-based explainers,Random Forest,Multimodal,Prognosis/outcome prediction,high
41,2024,A New Computer-Aided Diagnosis System for Breast Cancer Detection from Thermograms Using Metaheuristic Algorithms and Explainable AI,Hanane Dihmani; Abdelmajid Bousselham; Omar Bouattane,Article,Multidisciplinary Digital Publishing Institute,19,TRUE,https://www.mdpi.com/1999-4893/17/10/462/pdf?version=1729216959,,10.3390/a17100462,breast cancer,Breast cancer,Oncology,SHAP,PSO; Spider Monkey Optimisation; CAD models (unspecified),Medical imaging,Treatment response prediction,high
43,2021,A Novel Coupled Reaction-Diffusion System for Explainable Gene Expression Profiling,Muhamed Wael Farouq; Wadii Boulila; Zain Hussain; Asrar Rashid; Moiz Ali Shah; Sajid Hussain; Nathan Ng; Dominic Ng; Haris Hanif; M Guftar Shaikh; Aziz Sheikh; Amir Hussain,Journal Article,Multidisciplinary Digital Publishing Institute,3,TRUE,https://www.mdpi.com/1424-8220/21/6/2190/pdf?version=1616388230,33801002,10.3390/s21062190,non-small cell lung cancer,Lung cancer,Oncology,explainable analysis (mathematical formulation),ML models (unspecified); coupled-reaction partial differential equations,Omics,Biomarker discovery,high
46,2025,A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction,Inam Abousaber,Journal Article,Multidisciplinary Digital Publishing Institute,9,TRUE,https://www.mdpi.com/1424-8220/25/6/1739/pdf?version=1741702196,40292890,10.3390/s25061739,ischaemic stroke,Stroke,Neurology,SHAP,Random Forest; LightGBM; Deep Learning meta-classifier; SMOTE; SMOTEENN,Tabular/EHR,Diagnosis/detection/classification,high
48,2024,A novel explainable machine learning-based healthy ageing scale,Katarina Gašperlin Stepančič; Ana Ramovš; Jože Ramovš; Andrej Košir,Journal Article,BioMed Central,6,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02714-w,39472925,10.1186/s12911-024-02714-w,healthy ageing,Ageing,Ageing & Geriatrics,SHAP,Logistic Regression; Decision Tree; Random Forest; KNN; SVM; XGBoost,Tabular/EHR,Risk prediction/screening,medium
50,2023,A novel explainable online calculator for contrast-induced AKI in diabetics: a multi-centre validation and prospective evaluation study,Mengqing Ma; Xin Wan; Yuyang Chen; Zhichao Lu; Danning Guo; Huiping Kong; Binbin Pan; Hao Zhang; Dawei Chen; Dongxu Xu; Dong Sun; Hong Lang; Changgao Zhou; Tao Li; Changchun Cao,"Multicenter Study||Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,18,TRUE,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-023-04387-x,37525240,10.1186/s12967-023-04387-x,contrast-induced acute kidney injury in diabetic patients,Acute kidney injury,Nephrology & Urology,SHAP,Random Forest; Gradient Boosted Decision Trees; Logistic Regression; LASSO; XGBoost; SVM; MissForest,Tabular/EHR,Survival/mortality prediction,high
51,2023,A novel framework of multiclass skin lesion recognition from dermoscopic images using deep learning and explainable AI,Naveed Ahmad; Jamal Hussain Shah; Muhammad Attique Khan; Jamel Baili; Ghulam Jillani Ansari; Usman Tariq; Ye Jin Kim; Jaehyuk Cha,Journal Article,Frontiers Media,62,TRUE,https://www.frontiersin.org/articles/10.3389/fonc.2023.1151257/pdf,37346069,10.3389/fonc.2023.1151257,melanoma and skin lesion classification,Skin cancer,Oncology,Grad-CAM,Xception; ShuffleNet; Butterfly Optimisation Algorithm; ML classifiers (unspecified),Medical imaging,Risk prediction/screening,high
52,2024,A novel higher performance nomogram based on explainable machine learning for predicting mortality risk in stroke patients within 30 days based on clinical features on the first day ICU admission,Hao Chen; Fengchun Yang; Yifan Duan; Lin Yang; Jiao Li,Journal Article,BioMed Central,10,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02547-7,38849903,10.1186/s12911-024-02547-7,stroke 30-day mortality,Stroke,Neurology,SHAP,LightGBM; Logistic Regression; Cox Proportional Hazards Regression,Tabular/EHR,Survival/mortality prediction,high
55,2024,A novel machine learning approach for diagnosing diabetes with a self-explainable interface,Gangani Dharmarathne; Thilini N. Jayasinghe; Madhusha Bogahawaththa; D.P.P. Meddage; Upaka Rathnayake,Article,Elsevier BV,97,TRUE,https://doi.org/10.1016/j.health.2024.100301,,10.1016/j.health.2024.100301,type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,SHAP,Decision Tree; KNN; SVM; XGBoost,Tabular/EHR,Diagnosis/detection/classification,high
61,2022,A Pipeline for the Implementation and Visualization of Explainable Machine Learning for Medical Imaging Using Radiomics Features,Cameron Severn; 次夫 中澤; Carsten Görg; Yoon Seong Choi; Rajan Jain; Debashis Ghosh,Journal Article,National Institutes of Health,1,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/9318445,35890885,10.3390/s22145205,glioma genetic mutation prediction,Brain tumour,Oncology,SHAP; saliency maps,deep learning (unspecified); radiomics pipeline,Multimodal,Prognosis/outcome prediction,high
64,2024,A precise machine learning model: Detecting cervical cancer using feature selection and explainable AI,Rashiduzzaman Shakil; Sadia Islam; Bonna Akter,Journal Article,Elsevier BV,46,TRUE,https://doi.org/10.1016/j.jpi.2024.100398,39494050,10.1016/j.jpi.2024.100398,cervical cancer,Cervical cancer,Oncology,SHAP,Decision Tree; Logistic Regression; Naive Bayes; Random Forest; KNN; SVM; SMOTE; ADASYN,Tabular/EHR,Survival/mortality prediction,high
68,2024,A proposed technique for predicting heart disease using machine learning algorithms and an explainable AI method,Hosam F. El-Sofany; Belgacem Bouallègue; Yasser M. Abd El-Latif,Journal Article,Nature Portfolio,129,TRUE,https://www.nature.com/articles/s41598-024-74656-2.pdf,39375427,10.1038/s41598-024-74656-2,heart disease,Heart disease,Cardiology,SHAP,SVM; XGBoost; Bagging; Decision Tree; Random Forest; SMOTE,Tabular/EHR,Treatment response prediction,high
69,2023,A proposed tree-based explainable artificial intelligence approach for the prediction of angina pectoris,Emek Güldoğan; Fatma Hilal Yağın; Abdulvahap Pınar; Cemil Çolak; Seifedine Kadry; Jungeun Kim,Journal Article,Nature Portfolio,30,TRUE,https://www.nature.com/articles/s41598-023-49673-2.pdf,38092844,10.1038/s41598-023-49673-2,angina pectoris in women,Coronary artery disease,Cardiology,EBM global explanations; EBM local explanations,Explainable Boosting Machine; Logistic Regression; CatBoost; XGBoost; AdaBoost; LightGBM,Tabular/EHR,Survival/mortality prediction,high
76,2022,A robust framework to investigate the reliability and stability of explainable artificial intelligence markers of Mild Cognitive Impairment and Alzheimer's Disease,Angela Lombardi; Domenico Diacono; Nicola Amoroso; Przemysław Biecek; A. Monaco; Loredana Bellantuono; Ester Pantaleo; Giancarlo Logroscino; Roberto De Blasi; Sabina Tangaro; R. Bellotti,Journal Article,Springer Science+Business Media,65,TRUE,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-022-00165-5,35882684,10.1186/s40708-022-00165-5,Alzheimer's disease and cognitive decline,Alzheimer's disease,Neurology,SHAP,multivariate ML models (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
80,2024,A study of left against medical advice emergency department patients: an optimized explainable artificial intelligence framework,Abdulaziz Ahmed; Khalid Y. Aram; Salih Tutun; Dursun Delen,Article,Springer Science+Business Media,5,TRUE,https://link.springer.com/content/pdf/10.1007/s10729-024-09684-5.pdf,39138745,10.1007/s10729-024-09684-5,left against medical advice in emergency departments,Healthcare operations,Other,SHAP,XGBoost; Adaptive Tabu Simulated Annealing,Tabular/EHR,Treatment response prediction,high
84,2025,A Supervised Explainable Machine Learning Model for Perioperative Neurocognitive Disorder in Liver-Transplantation Patients and External Validation on the Medical Information Mart for Intensive Care IV Database: Retrospective Study,Zhendong Ding; Linan Zhang; Yihan Zhang; Jing Yang; Yuheng Luo; Mian Ge; Weifeng Yao; Ziqing Hei; Chaojin Chen,Journal Article,JMIR Publications,35,TRUE,https://www.jmir.org/2025/1/e55046/PDF,39813086,10.2196/55046,perioperative neurocognitive dysfunction after liver transplantation,Postoperative complications,Critical Care & Surgery,SHAP,Logistic Regression; ML algorithms (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
92,2024,A time-dependent explainable radiomic analysis from the multi-omic cohort of CPTAC-Pancreatic Ductal Adenocarcinoma,Gian Maria Zaccaria; Francesco Berloco; Domenico Buongiorno; Antonio Brunetti; Nicola Altini; Vitoantonio Bevilacqua,Journal Article,Elsevier BV,10,TRUE,https://doi.org/10.1016/j.cmpb.2024.108408,,10.1016/j.cmpb.2024.108408,pancreatic ductal adenocarcinoma,Pancreatic cancer,Oncology,SurvSHAP(t),Cox model; Survival Random Forest; Generalised Boosted model; SVM,Multimodal,Survival/mortality prediction,high
94,2024,A Transfer Learning and Explainable Solution to Detect mpox from Smartphones images,Mattia Giovanni Campana; Marco Colussi; Franca Delmastro; Sergio Mascetti; Elena Pagani,Article,Elsevier BV,28,TRUE,https://air.unimi.it/bitstream/2434/1024161/2/Monkeypox.pdf,,10.1016/j.pmcj.2023.101874,monkeypox,Monkeypox,Other,XAI (unspecified),MobileNetV3Large; CNN (unspecified); Transfer Learning,Medical imaging,Prognosis/outcome prediction,high
96,2025,A somnologists guide to explainable deep neural networks for sleep scoring; Leitfaden für Somnolog:innen hinsichtlich erklärbarer tiefer neuronaler Netzwerke in der Schlafklassifizierung,Philip Zaschke; M. Mäurer; Philip Hempel; Anne-Christin Hauschild; Andrea Rodenbeck; Nicolai Spicher,Article,Springer Science+Business Media,2,TRUE,https://link.springer.com/content/pdf/10.1007/s11818-025-00504-8.pdf,,10.1007/s11818-025-00504-8,sleep disorders,Sleep disorders,Ageing & Geriatrics,Integrated Gradients,Deep Neural Network,Physiological signal,Diagnosis/detection/classification,high
98,2025,ACLPred: an explainable machine learning and tree-based ensemble model for anticancer ligand prediction,Arvind Kumar Yadav; Jun‐Mo Kim,Journal Article,Nature Portfolio,3,TRUE,https://www.nature.com/articles/s41598-025-16575-4.pdf,40855112,10.1038/s41598-025-16575-4,anticancer drug compound identification,Drug design (in silico),Other,SHAP,LightGBM; tree-based ensemble models (unspecified),Tabular/EHR,Treatment response prediction,medium
101,2024,"Advanced electrocardiography heart age: a prognostic, explainable machine learning approach applicable to sinus and non-sinus rhythms",Z. Al-Falahi; Todd T. Schlegel; Israel Palencia-Lamela; Annie Li; Erik B. Schelbert; L. Niklasson; Maren Maanja; Thomas Lindow; Martin Ugander,Journal Article,Oxford University Press,2,TRUE,https://doi.org/10.1093/ehjdh/ztae075,39846063,10.1093/ehjdh/ztae075,cardiovascular ageing and risk,Cardiovascular disease,Cardiology,explainable A-ECG,multivariable regression; Cox regression; Bayesian model,Multimodal,Prognosis/outcome prediction,medium
104,2024,Advanced interpretable diagnosis of Alzheimer's disease using SECNN-RF framework with explainable AI,Nabil M. AbdelAziz; Wael Said; Mohamed M. AbdelHafeez; Asmaa H. Ali,Journal Article,Frontiers Media,24,TRUE,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1456069/pdf,39286548,10.3389/frai.2024.1456069,Alzheimer's disease,Alzheimer's disease,Neurology,explainable analysis (SE blocks),CNN; Squeeze-and-Excitation CNN; Random Forest; Decision Tree; XGBoost; SVM; Gradient Boosting,Medical imaging,Risk prediction/screening,high
110,2024,Advancing post-traumatic seizure classification and biomarker identification: Information decomposition based multimodal fusion and explainable machine learning with missing neuroimaging data,Md Navid Akbar; Sebastian F. Ruf; Ashutosh Singh; Razieh Faghihpirayesh; Rachael Garner; Alexis Bennett; Celina Alba; Marianna La Rocca; Tales Imbiriba; Deniz Erdoğmuş; Dominique Duncan,Article,Elsevier BV,6,FALSE,,,10.1016/j.compmedimag.2024.102386,post-traumatic epilepsy,Epilepsy,Neurology,SHAP,kernel-based classifier; tree-based classifier; Bayesian estimator; RECC; IDSF,Multimodal,Biomarker discovery,high
115,2024,Air pollution and mortality for cancer of the respiratory system in Italy: an explainable artificial intelligence approach,Donato Romano; Pierfrancesco Novielli; Roberto Cilli; Nicola Amoroso; Alfonso Monaco; R. Bellotti; Sabina Tangaro,Journal Article,Frontiers Media,4,TRUE,https://public-pages-files-2025.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1344865/pdf,38774048,10.3389/fpubh.2024.1344865,respiratory system cancer,Cancer (general),Oncology,XAI feature importance,Random Forest,Tabular/EHR,Survival/mortality prediction,high
121,2023,An efficient edge/cloud medical system for rapid detection of level of consciousness in emergency medicine based on explainable machine learning models,Nora El-Rashidy; Ahmed Sedik; Ali I. Siam; Zainab H. Ali,Journal Article,Springer Science+Business Media,24,TRUE,https://link.springer.com/content/pdf/10.1007/s00521-023-08258-w.pdf,37155550,10.1007/s00521-023-08258-w,impaired consciousness assessment,Neurological assessment,Other,SHAP,ML model (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
123,2024,An EfficientNet integrated ResNet deep network and explainable AI for breast lesion classification from ultrasound images,Kiran Jabeen; Muhammad Attique Khan; Ameer Hamza; Hussain Mobarak Albarakati; Shrooq Alsenan; Usman Tariq; Isaac Ofori,Article,Institution of Engineering and Technology,20,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cit2.12385,,10.1049/cit2.12385,breast cancer,Breast cancer,Oncology,XAI (unspecified),EfficientNet; ResNet; Transfer Learning; Cuckoo Search Algorithm; ML classifiers (unspecified),Medical imaging,Risk prediction/screening,high
124,2024,An Empirical Evaluation of a Novel Ensemble Deep Neural Network Model and Explainable AI for Accurate Segmentation and Classification of Ovarian Tumors Using CT Images,Ashwini Kodipalli; Steven Lawrence Fernandes; Santosh Dasar,Journal Article,Multidisciplinary Digital Publishing Institute,30,TRUE,https://www.mdpi.com/2075-4418/14/5/543/pdf?version=1709554003,38473015,10.3390/diagnostics14050543,ovarian cancer,Ovarian cancer,Oncology,,VGG16; ResNet152; InceptionV3; DenseNet101; Transformer; Ensemble MLP; KNN; Logistic Regression; SVM; Decision Tree; Random Forest; UNet,Medical imaging,Biomarker discovery,high
126,2022,An Ensemble Approach for the Prediction of Diabetes Mellitus Using a Soft Voting Classifier with an Explainable AI,Hafsa Binte Kibria; Md. Nahiduzzaman; Md. Omaer Faruq Goni; Mominul Ahsan; Julfikar Haider,Journal Article,Multidisciplinary Digital Publishing Institute,131,TRUE,https://www.mdpi.com/1424-8220/22/19/7268/pdf?version=1664433493,36236367,10.3390/s22197268,type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,SHAP,ANN; Random Forest; SVM; Logistic Regression; AdaBoost; XGBoost; Stacking Ensemble; SMOTETomek,Tabular/EHR,Diagnosis/detection/classification,high
128,2024,An ensemble machine learning framework with explainable artificial intelligence for predicting haemoglobin anaemia considering haematological markers,Dhruva Darshan B S; Punit Sharma; Krishnaraj Chadaga; Niranjana Sampathila; G. Muralidhar Bairy; Sushma Belurkar; Srikanth Prabhu; K. S. Swathi,Article,Taylor & Francis,3,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/21642583.2024.2420927?needAccess=true,,10.1080/21642583.2024.2420927,anaemia,Anaemia,Other,XAI (unspecified),Logistic Regression; CatBoost; XGBoost; Decision Tree; KNN; Stacking Ensemble,Tabular/EHR,Prognosis/outcome prediction,high
130,2025,An explainable AI approach for mapping multivariate regional brain age and clinical severity patterns in Alzheimer's disease,Gauri Darekar; Taslim Murad; Hui-Yuan Miao; Deepa S. Thakuri; Alzheimer’s Disease Neuroimaging Initiative; Gauri Darekar; Taslim Murad; Hui-Yuan Miao; Deepa S. Thakuri; Ganesh B. Chand; Ganesh B. Chand,Journal Article,Oxford University Press,2,TRUE,https://academic.oup.com/biomethods/article-pdf/10/1/bpaf051/63970782/bpaf051.pdf,40860594,10.1093/biomethods/bpaf051,mild cognitive impairment and Alzheimer's disease,Mild cognitive impairment,Neurology,SHAP; LIME; Layer-wise Relevance Propagation,AgeNet (deep learning); conventional ML models (unspecified),Medical imaging,Prognosis/outcome prediction,high
131,2025,An explainable AI approach to surgical and radiotherapy interventions for optimized treatment decision-making in early-stage non-small cell lung cancer,Qunzhe Ding; Chendong Wang; Zhe Zhang; Junjie Liao; Lufan Tang; Jiade J. Lu; Zhibo Tan,Journal Article,AME Publishing Company,3,TRUE,https://doi.org/10.21037/tlcr-2025-152,40673105,10.21037/tlcr-2025-152,non-small cell lung cancer,Lung cancer,Oncology,SHAP,LightGBM; ML models (unspecified),Tabular/EHR,Treatment response prediction,high
138,2025,An explainable and efficient deep learning framework for EEG-based diagnosis of Alzheimer's disease and frontotemporal dementia,Waqar Ali Khan; Muhammad Shahbaz Khan; Sultan Noman Qasem; Wad Ghaban; Faisal Saeed; Muhammad Fainan Hanif; Jawad Ahmad,Journal Article,Frontiers Media,20,TRUE,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1590201/pdf,40735445,10.3389/fmed.2025.1590201,Alzheimer's disease and frontotemporal dementia,Alzheimer's disease,Neurology,SHAP,Temporal Convolutional Network; LSTM,Physiological signal,Risk prediction/screening,high
